_id,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,VESTIGINGSCODE,VESTIGINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM,VAKANTIEREGIO
773,Friesland,84332,05LZ,05LZ00,Christelijke Basisschool De Eker,Burmaniastrjitte,1-A,9133MV,EANJUM,1970,NOARDEAST-FRYSLAN,Protestants-Christelijk,0519321387,www.cbs-de-eker.nl,Burmaniastrjitte,1-A,9133MV,EANJUM,10,Leeuwarden,04,Fryslân,04,Friesland-Noord,04,Noord-Friesland,03,Friesland,04,Friesland Noord,Noord
774,Friesland,84332,05NY,05NY00,Christelijke Basisschool Rehoboth,De Kolk,1,9249MC,FRIESCHEPALEN,0086,OPSTERLAND,Protestants-Christelijk,0512302600,www.pcborehoboth.nl,De Kolk,1,9249MC,FRIESCHEPALEN,07,Smallingerland,04,Fryslân,06,Friesland-Oost,06,Zuidoost-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
775,Friesland,84332,05WL,05WL00,CBS De Bining,Gietersewei,4,9245HK,NIJ BEETS,0086,OPSTERLAND,Protestants-Christelijk,0512461600,www.arke-nijbeets.nl,Gietersewei,4,9245HK,NIJ BEETS,07,Smallingerland,04,Fryslân,06,Friesland-Oost,06,Zuidoost-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
776,Friesland,84332,06IU,06IU00,Christelijke Basisschool De Librije,Wabbe Wissesstrjitte,15,8401RE,GORREDIJK,0086,OPSTERLAND,Protestants-Christelijk,0513466448,www.pcbs-librije.nl,Wabbe Wissesstrjitte,15,8401RE,GORREDIJK,07,Smallingerland,04,Fryslân,06,Friesland-Oost,06,Zuidoost-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
777,Gelderland,23128,12RO,12RO00,Joppeschool,Joppelaan,73-A,7215AD,JOPPE,0262,LOCHEM,Rooms-Katholiek,0575494269,www.joppeschool.nl,Joppelaan,73-A,7215AD,JOPPE,23,Zutphen,09,Stedendriehoek,11,Stedendriehoek,14,Achterhoek,07,Apeldoorn en midden-IJsselgebied,11,Stedendriehoek,Midden
778,Gelderland,23883,09JI,09JI00,Ds A V Stuyvenbergschool,Westerlaan,63,8071EB,NUNSPEET,0302,NUNSPEET,Reformatorisch,0341253477,www.stuijvenbergschool.nl,Postbus,30,8070AA,NUNSPEET,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
779,Gelderland,23883,10EU,10EU00,Ds C De Ridderschool,Jan van Vuurenstraat,15,8072ZJ,NUNSPEET,0302,NUNSPEET,Reformatorisch,0341256828,www.ridderschool.nl,Jan van Vuurenstraat,15,8072ZJ,NUNSPEET,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
780,Gelderland,23948,06EF,06EF00,Christelijke basisschool De Spoorzoeker,Cotoneasterstraat,19,8091TT,WEZEP,0269,OLDEBROEK,Protestants-Christelijk,0383763535,www.despoorzoekerwezep.nl,Cotoneasterstraat,19,8091TT,WEZEP,18,Zwolle,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,05,Zwolle-Meppel en omstreken,17,Noordwest-Veluwe,Midden
781,Gelderland,24481,03HU,03HU00,Rehobothschool,Schoonbeekhof,53,3774DA,KOOTWIJKERBROEK,0203,BARNEVELD,Reformatorisch,0342441556,www.rehobothsch.nl,Schoonbeekhof,53,3774DA,KOOTWIJKERBROEK,35,Amersfoort,10,De Vallei,16,Eem en Vallei,13,Veluwe,10,Harderwijk-Amersfoort,16,Eem en Vallei,Midden
782,Gelderland,24533,11JX,11JX00,De Ceder,Eeckelhagen,37,8071ZR,NUNSPEET,0302,NUNSPEET,Protestants-Christelijk,0341253637,www.ikcdeceder.nl,Eeckelhagen,37,8071ZR,NUNSPEET,28,Harderwijk,08,Noordwest-Veluwe,17,Noordwest-Veluwe,13,Veluwe,10,Harderwijk-Amersfoort,17,Noordwest-Veluwe,Midden
